1714813776554,2365
1714813776562,2471
1714813776570,2504
1714813776578,2411
1714813776586,2197
1714813776594,1940
1714813776602,1705
1714813776610,1499
1714813776618,1320
1714813776626,1164
1714813776634,1061
1714813776642,1120
1714813776650,1398
1714813776658,1777
1714813776666,2138
1714813776674,2453
1714813776682,2726
1714813776690,2964
1714813776698,3173
1714813776706,3357
1714813776714,3516
1714813776722,3550
1714813776730,3368
1714813776738,3034
1714813776746,2677
1714813776754,2357
1714813776762,2076
1714813776770,1829
1714813776778,1613
1714813776786,1423
1714813776794,1257
1714813776802,1145
1714813776810,1058
1714813776818,970
1714813776826,863
1714813776834,765
1714813776842,678
1714813776850,602
1714813776858,534
1714813776866,474
1714813776874,421
1714813776882,374
1714813776890,333
1714813776898,296
1714813776906,263
1714813776914,234
1714813776922,208
1714813776930,185
1714813776938,165
1714813776946,147
1714813776954,131
1714813776962,116
1714813776970,104
1714813776978,93
1714813776986,83
1714813776994,74
1714813777002,66
1714813777010,67
1714813777018,342
1714813777026,810
1714813777034,1272
1714813777042,1685
1714813777050,2049
1714813777058,2369
1714813777066,2648
1714813777074,2892
1714813777082,3107
1714813777090,3296
1714813777098,3463
1714813777106,3611
1714813777114,3741
1714813777122,3856
1714813777130,3957
1714813777138,4048
1714813777146,4095
1714813777154,4095
1714813777162,4095
1714813777170,4095
1714813777178,4095
1714813777186,4095
1714813777194,4095
1714813777202,4095
1714813777210,4095
1714813777218,4095
1714813777226,4095
1714813777234,4095
1714813777242,4095
1714813777250,4095
1714813777258,4090
1714813777266,3618
1714813777274,3193
1714813777282,2820
1714813777290,2492
1714813777298,2202
1714813777306,1946
1714813777314,1720
1714813777322,1522
1714813777330,1347
1714813777338,1193
1714813777346,1058
1714813777354,938
1714813777362,832
1714813777370,738
1714813777378,656
1714813777386,582
1714813777394,518
1714813777402,460
1714813777410,409
1714813777418,363
1714813777426,323
1714813777434,288
1714813777442,256
1714813777450,228
1714813777458,203
1714813777466,181
1714813777474,161
1714813777482,143
1714813777490,128
1714813777498,114
1714813777506,198
1714813777514,503
1714813777522,979
1714813777530,1425
1714813777538,1819
1714813777546,2167
1714813777554,2472
1714813777562,2738
1714813777570,2971
1714813777578,3177
1714813777586,3358
1714813777594,3518
1714813777602,3658
1714813777610,3770
1714813777618,3781
1714813777626,3757
1714813777634,3802
1714813777642,3906
1714813777650,4002
1714813777658,4087
1714813777666,4095
1714813777674,4095
1714813777682,4095
1714813777690,4095
1714813777698,4095
1714813777706,4095
1714813777714,4095
1714813777722,4095
1714813777730,4095
1714813777738,4095
1714813777746,4095
1714813777754,4095
1714813777762,4095
1714813777770,4095
1714813777778,4077
1714813777786,3606
1714813777794,3182
1714813777802,2811
1714813777810,2484
1714813777818,2196
1714813777826,1940
1714813777834,1724
1714813777842,1800
1714813777850,2100
1714813777858,2420
1714813777866,2701
1714813777874,2945
1714813777882,3159
1714813777890,3347
1714813777898,3512
1714813777906,3464
1714813777914,3194
1714813777922,2821
1714813777930,2485
1714813777938,2189
1714813777946,1929
1714813777954,1700
1714813777962,1502
1714813777970,1330
1714813777978,1178
1714813777986,1044
1714813777994,926
1714813778002,821
1714813778010,729
1714813778018,648
1714813778026,575
1714813778034,511
1714813778042,454
1714813778050,404
1714813778058,359
1714813778066,319
1714813778074,284
1714813778082,253
1714813778090,225
1714813778098,200
1714813778106,178
1714813778114,159
1714813778122,141
1714813778130,126
1714813778138,112
1714813778146,100
1714813778154,89
1714813778162,80
1714813778170,71
1714813778178,64
1714813778186,57
1714813778194,51
1714813778202,193
1714813778210,495
1714813778218,979
1714813778226,1424
1714813778234,1818
1714813778242,2166
1714813778250,2470
1714813778258,2736
1714813778266,2969
1714813778274,3175
1714813778282,3355
1714813778290,3515
1714813778298,3656
1714813778306,3781
1714813778314,3892
1714813778322,3989
1714813778330,4075
1714813778338,4095
1714813778346,4095
1714813778354,4095
1714813778362,4095
1714813778370,4095
1714813778378,4095
1714813778386,4095
1714813778394,4095
1714813778402,4095
1714813778410,4095
1714813778418,4095
1714813778426,4095
1714813778434,4095
1714813778442,4095
1714813778450,4095
1714813778458,4026
1714813778466,3557
1714813778474,3140
1714813778482,2774
1714813778490,2452
1714813778498,2166
1714813778506,1915
1714813778514,1801
1714813778522,1935
1714813778530,2251
1714813778538,2553
1714813778546,2817
1714813778554,3047
1714813778562,3249
1714813778570,3426
1714813778578,3543
1714813778586,3472
1714813778594,3185
1714813778602,2818
1714813778610,2483
1714813778618,2187
1714813778626,1927
1714813778634,1699
1714813778642,1502
1714813778650,1330
1714813778658,1178
1714813778666,1045
1714813778674,926
1714813778682,822
1714813778690,730
1714813778698,648
1714813778706,576
1714813778714,512
1714813778722,455
1714813778730,404
1714813778738,359
1714813778746,403
1714813778754,569
1714813778762,739
1714813778770,768
1714813778778,693
1714813778786,609
1714813778794,535
1714813778802,470
1714813778810,413
1714813778818,364
1714813778826,322
1714813778834,285
1714813778842,253
1714813778850,225
1714813778858,207
1714813778866,371
1714813778874,744
1714813778882,1206
1714813778890,1627
1714813778898,1998
1714813778906,2273
1714813778914,2343
1714813778922,2184
1714813778930,1934
1714813778938,1699
1714813778946,1495
1714813778954,1316
1714813778962,1160
1714813778970,1024
1714813778978,903
1714813778986,798
1714813778994,706
1714813779002,660
1714813779010,766
1714813779018,1075
1714813779026,1475
1714813779034,1865
